"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1963-Q1","Q1-1963","PC","Percentage","0","Units",,,-1.137056,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1963-Q2","Q2-1963","PC","Percentage","0","Units",,,-1.124744,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1963-Q3","Q3-1963","PC","Percentage","0","Units",,,-0.3494467,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1963-Q4","Q4-1963","PC","Percentage","0","Units",,,1.95892,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1964-Q1","Q1-1964","PC","Percentage","0","Units",,,0.7706767,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1964-Q2","Q2-1964","PC","Percentage","0","Units",,,-0.8180331,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1964-Q3","Q3-1964","PC","Percentage","0","Units",,,-2.488364,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1964-Q4","Q4-1964","PC","Percentage","0","Units",,,-2.168257,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1965-Q1","Q1-1965","PC","Percentage","0","Units",,,-3.161853,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1965-Q2","Q2-1965","PC","Percentage","0","Units",,,-3.184713,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1965-Q3","Q3-1965","PC","Percentage","0","Units",,,-4.376879,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1965-Q4","Q4-1965","PC","Percentage","0","Units",,,-3.648069,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1966-Q1","Q1-1966","PC","Percentage","0","Units",,,-2.692055,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1966-Q2","Q2-1966","PC","Percentage","0","Units",,,-1.648,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1966-Q3","Q3-1966","PC","Percentage","0","Units",,,-1.866585,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1966-Q4","Q4-1966","PC","Percentage","0","Units",,,-1.805701,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1967-Q1","Q1-1967","PC","Percentage","0","Units",,,-2.479101,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1967-Q2","Q2-1967","PC","Percentage","0","Units",,,-1.860332,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1967-Q3","Q3-1967","PC","Percentage","0","Units",,,-2.861573,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1967-Q4","Q4-1967","PC","Percentage","0","Units",,,-2.819627,,
"B6BLTT02","Current account balance as % of GDP","AUS","Australia","STSA","Indicators in percentage","Q","Quarterly","1968-Q1","Q1-1968","PC","Percentage","0","Units",,,-5.104819,,
