"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1960-Q1","Q1-1960","IDX","Index","0","Units","2015","2015",6.81666298,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","IDX","Index","0","Units","2015","2015",6.969982321,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","IDX","Index","0","Units","2015","2015",6.989239091,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","IDX","Index","0","Units","2015","2015",7.047300302,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","IDX","Index","0","Units","2015","2015",7.013568256,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","IDX","Index","0","Units","2015","2015",6.934052435,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","IDX","Index","0","Units","2015","2015",6.99878808,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","IDX","Index","0","Units","2015","2015",6.977711703,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","IDX","Index","0","Units","2015","2015",6.990801396,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","IDX","Index","0","Units","2015","2015",7.005399829,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1962-Q3","Q3-1962","IDX","Index","0","Units","2015","2015",7.035785504,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1962-Q4","Q4-1962","IDX","Index","0","Units","2015","2015",7.106220569,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1963-Q1","Q1-1963","IDX","Index","0","Units","2015","2015",7.153536118,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","DOBSA","Deflator, OECD reference year, seasonally adjusted","Q","Quarterly","1963-Q2","Q2-1963","IDX","Index","0","Units","2015","2015",7.195908958,,
