"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1977-Q4","Q4-1977","PC","Percentage","0","Units",,,9.926666,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1978-Q1","Q1-1978","PC","Percentage","0","Units",,,9.693334,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1978-Q2","Q2-1978","PC","Percentage","0","Units",,,10.69667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1978-Q3","Q3-1978","PC","Percentage","0","Units",,,9.753333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1978-Q4","Q4-1978","PC","Percentage","0","Units",,,9.23,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1979-Q1","Q1-1979","PC","Percentage","0","Units",,,8.756667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1979-Q2","Q2-1979","PC","Percentage","0","Units",,,10.40667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1979-Q3","Q3-1979","PC","Percentage","0","Units",,,9.836667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1979-Q4","Q4-1979","PC","Percentage","0","Units",,,10.09333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1980-Q1","Q1-1980","PC","Percentage","0","Units",,,10.52,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1980-Q2","Q2-1980","PC","Percentage","0","Units",,,13.64667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1980-Q3","Q3-1980","PC","Percentage","0","Units",,,12.29667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1980-Q4","Q4-1980","PC","Percentage","0","Units",,,11.64667,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1981-Q1","Q1-1981","PC","Percentage","0","Units",,,13.53333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1981-Q2","Q2-1981","PC","Percentage","0","Units",,,16.18333,,
"IR3TIB","Short-term interest rates, Per cent per annum","AUS","Australia","Q","Quarterly","1981-Q3","Q3-1981","PC","Percentage","0","Units",,,15.48667,,
